CELL_LINE	BT-549	DU4475	MDA-MB-468	HCC38	Hs 578.T	CAL-85-1	HCC1806	SUM-159-PT	MDA-MB-157	SUM-149-PT	MCF10A	MCF12A	HCC1187	HCC1937	HCC1143	HCC3153	MDA-MB-231	HCC70	SUM-1315M02	CAL-51	EL-12-58	MDA-MB-436	HCC1395	SUM-185PE	SW527	CAL-148	CAL-120	SUM-52PE	BT-474	T-47D	ZR-75-1	ZR-75-30 	MCF7	MDA-MB-134-VI	CAMA-1	HCC1428 	HCC1569	MDA-MB-453	SUM-190PT	SK-BR-3
CLASS	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	TNBC	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	LUMINAL	HER2	HER2	HER2	HER2
JQ1R	13.8	8.997	10.96	13.59	12.07	20	15.5	13.28	20	8.844	20	20	8.38	8.667	20	20	20	20	20	20	20	20	20	20	20	20	20	9.665	15.16	20	20	20	12.89	20	20	16.14	12.55	20	20	20
JQ1S	0.1127	0.1321	0.1502	0.1567	0.1651	0.1652	0.1794	0.189	0.2	0.2029	0.06601	0.2064	0.2297	0.5445	0.6	0.7	0.7864	1.062	2.102	3	5.6	16.24	20	13.93	0.3033	0.6145	0.5	0.363	1.959	20	3.569	5.597	0.9603	0.9818	1.135	0.2879	0.2642	0.1066	2.371	2.555
iBET	0.2881	0.7074	0.9048	1.444	0.6455	1.253	0.8136	0.7872	1	0.6947	0.3153	0.5811	1.491	3.086	20	2	5.568	20	20	6	6	20	218.9	20	20	4.227	1	2.417	1.324	20	12.98	20	5.286	12.31	20	0.9557	0.9962	0.3385	20	13.84
iBET151	0.8422	0.6422	1.563	3.481	0.9649	0.8605	0.8196	0.8177	0.7	0.5404	0.3577	0.729	1.241	4.231	1	20	6.76	11.27	20	9	6	20	20	20	4.898	1.004	0.8	1.868	2.138	20	9.104	38.4	8.293	6.74	17.38	1.148	1.508	0.5506	18	13.5
Y803	0.1094	0.1536	0.1839	0.8878	0.3188	0.1641	0.2073	0.2539	0.2	0.1973	0.2464	0.3279	0.1457	1.005	0.3	0.08	2.464	2.876	20	3	6	20	20	16.57	3.893	0.5944	4	0.3931	1.821	20	5.711	56.54	1.582	3.133	15.89	0.2919	0.3023	0.1032	4.238	10.46
Pfizer	2.675	3.136	0.2151	0.4944	0.1702	2.537	5.494	0.2266	2	0.1177	0.1196	0.2301	13.03	0.6033	20	20	1.222	1.56	2.687	20	20	6.176	3.485	3.15	2.683	4.37	7	0.4335	0.5838	2.796	1.857	1.077	1.403	2.008	2.815	0.2875	0.2054	0.1584	2.638	1.4
Alprazolam	20	20	20	20	20	20	20	20	20	19.39	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
